endpoint,treatment_group,time_days,survival_probability,ci_lower,ci_upper,n_risk,n_events_at_time
Recurrence-Free Survival,Obs,122,0.9142857142857141,0.877490751387039,0.9404035025052687,289,1
Recurrence-Free Survival,Obs,127,0.911111111111111,0.8738532000649594,0.9377554239860375,288,1
Recurrence-Free Survival,Obs,131,0.9079365079365078,0.8702267392526087,0.9350959216870968,287,1
Recurrence-Free Survival,Obs,139,0.9047619047619047,0.8666108942623235,0.932425506207095,286,1
Recurrence-Free Survival,Obs,143,0.9015873015873015,0.8630052262865135,0.9297446476289665,285,1
Recurrence-Free Survival,Obs,154,0.8984126984126983,0.8594093287449891,0.9270537798999372,284,1
Recurrence-Free Survival,Obs,157,0.895238095238095,0.8558228240925864,0.9243533046184913,283,1
Recurrence-Free Survival,Obs,161,0.892063492063492,0.8522453610190625,0.9216435943237582,282,1
Recurrence-Free Survival,Obs,165,0.8857142857142857,0.8451162710435748,0.9161978304157746,281,2
Recurrence-Free Survival,Obs,166,0.8825396825396824,0.8415640519167342,0.9134624006830837,279,1
Recurrence-Free Survival,Obs,167,0.8793650793650792,0.8380196862783972,0.9107189878590397,278,1
Recurrence-Free Survival,Obs,173,0.8698412698412697,0.8274312654066337,0.90244340997833,277,3
Recurrence-Free Survival,Obs,174,0.8666666666666665,0.8239159393896728,0.8996705479855464,274,1
Recurrence-Free Survival,Obs,185,0.8603174603174601,0.816905298793129,0.8941045795287151,273,2
Recurrence-Free Survival,Obs,188,0.857142857142857,0.8134096190174803,0.8913118522631417,271,1
Recurrence-Free Survival,Obs,189,0.8539682539682539,0.8099201388260696,0.8885128654100398,270,1
Recurrence-Free Survival,Obs,201,0.8507936507936508,0.8064366986413589,0.8857077841511143,269,1
Recurrence-Free Survival,Obs,203,0.8476190476190476,0.8029591469453841,0.8828967651534094,268,1
Recurrence-Free Survival,Obs,208,0.8444444444444444,0.799487339728923,0.880079957166851,267,1
Recurrence-Free Survival,Obs,215,0.8412698412698412,0.7960211399883447,0.8772575015684915,266,1
Recurrence-Free Survival,Obs,218,0.838095238095238,0.7925604172652033,0.8744295328591657,265,1
Recurrence-Free Survival,Obs,221,0.8349206349206348,0.7891050472242334,0.8715961791175546,264,1
Recurrence-Free Survival,Obs,223,0.8317460317460317,0.7856549112659119,0.8687575624160475,263,1
Recurrence-Free Survival,Obs,227,0.8285714285714285,0.7822098961701969,0.8659137992022644,262,1
Recurrence-Free Survival,Obs,228,0.8253968253968252,0.7787698937684369,0.8630650006496476,261,1
Recurrence-Free Survival,Obs,229,0.8222222222222222,0.7753348006407821,0.8602112729801389,260,1
Recurrence-Free Survival,Obs,230,0.8126984126984126,0.7650580082123679,0.8516215093053453,259,3
Recurrence-Free Survival,Obs,237,0.8095238095238094,0.7616416036054774,0.8487490383022733,256,1
Recurrence-Free Survival,Obs,238,0.8031746031746031,0.7548220772360933,0.8429907904434852,255,2
Recurrence-Free Survival,Obs,243,0.7999999999999999,0.7514187984017046,0.8401051743611129,253,1
Recurrence-Free Survival,Obs,245,0.7968253968253968,0.7480197428766578,0.8372153320619793,252,1
Recurrence-Free Survival,Obs,256,0.7936507936507936,0.7446248395727729,0.834321336237331,251,1
Recurrence-Free Survival,Obs,257,0.7904761904761904,0.7412340201103307,0.8314232567845458,250,1
Recurrence-Free Survival,Obs,263,0.7873015873015873,0.737847218682992,0.8285211609487522,249,1
Recurrence-Free Survival,Obs,264,0.7841269841269841,0.734464371931435,0.8256151134551539,248,1
Recurrence-Free Survival,Obs,271,0.7809523809523808,0.731085418825038,0.8227051766327926,247,1
Recurrence-Free Survival,Obs,273,0.7777777777777777,0.7277103005509894,0.8197914105304187,246,1
Recurrence-Free Survival,Obs,276,0.7746031746031745,0.724338960410269,0.8168738730250711,245,1
Recurrence-Free Survival,Obs,279,0.7714285714285714,0.720971343719987,0.8139526199239223,244,1
Recurrence-Free Survival,Obs,280,0.7682539682539682,0.7176073977216156,0.8110277050598877,243,1
Recurrence-Free Survival,Obs,286,0.765079365079365,0.7142470714946877,0.8080991803814601,242,1
Recurrence-Free Survival,Obs,291,0.7619047619047619,0.7108903158755704,0.8051670960371878,241,1
Recurrence-Free Survival,Obs,294,0.7587301587301587,0.7075370833809577,0.8022315004551799,240,1
Recurrence-Free Survival,Obs,296,0.7555555555555555,0.7041873281357528,0.7992924404179901,239,1
Recurrence-Free Survival,Obs,304,0.7523809523809524,0.7008410058050393,0.7963499611332019,238,1
Recurrence-Free Survival,Obs,308,0.7492063492063492,0.6974980735298643,0.7934041063000108,237,1
Recurrence-Free Survival,Obs,315,0.746031746031746,0.6941584898665762,0.7904549181720745,236,1
Recurrence-Free Survival,Obs,334,0.7428571428571429,0.690822214729486,0.787502437616884,235,1
Recurrence-Free Survival,Obs,337,0.7396825396825397,0.6874892093366307,0.7845467041718832,234,1
Recurrence-Free Survival,Obs,344,0.7365079365079366,0.6841594361584419,0.7815877560975519,233,1
Recurrence-Free Survival,Obs,349,0.7333333333333334,0.6808328588691329,0.778625630427647,232,1
Recurrence-Free Survival,Obs,352,0.7301587301587302,0.6775094423006337,0.7756603630167846,231,1
Recurrence-Free Survival,Obs,354,0.7269841269841271,0.6741891523989151,0.7726919885855298,230,1
Recurrence-Free Survival,Obs,360,0.7238095238095239,0.6708719561825542,0.7697205407631487,229,1
Recurrence-Free Survival,Obs,362,0.7206349206349207,0.6675578217034082,0.7667460521281695,228,1
Recurrence-Free Survival,Obs,374,0.7174603174603176,0.6642467180092649,0.7637685542468818,227,1
Recurrence-Free Survival,Obs,378,0.7142857142857143,0.6609386151083575,0.7607880777099021,226,1
Recurrence-Free Survival,Obs,379,0.7111111111111111,0.6576334839356313,0.7578046521669167,225,1
Recurrence-Free Survival,Obs,382,0.707936507936508,0.6543312963206611,0.7548183063597125,224,1
Recurrence-Free Survival,Obs,384,0.7047619047619048,0.6510320249571262,0.7518290681535917,223,1
Recurrence-Free Survival,Obs,398,0.7015873015873016,0.6477356433737529,0.7488369645672667,222,1
Recurrence-Free Survival,Obs,401,0.6984126984126985,0.6444421259066428,0.7458420218013176,221,1
Recurrence-Free Survival,Obs,402,0.6952380952380953,0.6411514476729112,0.7428442652652961,220,1
Recurrence-Free Survival,Obs,406,0.6920634920634922,0.6378635845455621,0.739843719603549,219,1
Recurrence-Free Survival,Obs,411,0.688888888888889,0.6345785131295341,0.7368404087198315,218,1
Recurrence-Free Survival,Obs,433,0.6856995884773665,0.6312790593088788,0.7338219669820891,216,1
Recurrence-Free Survival,Obs,435,0.6825102880658438,0.6279824128075675,0.7308007625271288,215,1
Recurrence-Free Survival,Obs,437,0.6793209876543211,0.6246885512247035,0.727776817749784,214,1
Recurrence-Free Survival,Obs,438,0.6761316872427986,0.6213974528459983,0.7247501543716575,213,1
Recurrence-Free Survival,Obs,461,0.6729272716634488,0.6180915250365661,0.7217080077465555,211,1
Recurrence-Free Survival,Obs,480,0.6697228560840991,0.6147883796694193,0.7186631402477182,210,1
Recurrence-Free Survival,Obs,489,0.6665030346606179,0.6114701103210239,0.7156025262244686,208,1
Recurrence-Free Survival,Obs,493,0.6632832132371366,0.6081546441750832,0.7125391868155375,207,1
Recurrence-Free Survival,Obs,495,0.6600633918136553,0.6048419606873578,0.7094731417303043,206,1
Recurrence-Free Survival,Obs,496,0.656843570390174,0.6015320399615469,0.7064044100759921,205,1
Recurrence-Free Survival,Obs,499,0.6536237489666928,0.5982248627306871,0.7033330103743534,204,1
Recurrence-Free Survival,Obs,523,0.6504039275432116,0.5949204103394016,0.7002589605776159,203,1
Recurrence-Free Survival,Obs,532,0.6471841061197303,0.5916186647269578,0.6971822780837257,202,1
Recurrence-Free Survival,Obs,534,0.6439642846962491,0.588319608411093,0.6941029797509187,201,1
Recurrence-Free Survival,Obs,540,0.6407444632727679,0.5850232244725694,0.6910210819116549,200,1
Recurrence-Free Survival,Obs,542,0.6375246418492866,0.5817294965404267,0.6879366003859412,199,1
Recurrence-Free Survival,Obs,543,0.6343048204258054,0.5784384087778965,0.6848495504940744,198,1
Recurrence-Free Survival,Obs,547,0.6310849990023241,0.5751499458689475,0.6817599470688275,197,1
Recurrence-Free Survival,Obs,555,0.6278651775788429,0.5718640930054351,0.6786678044671051,196,1
Recurrence-Free Survival,Obs,561,0.6246453561553617,0.5685808358748241,0.6755731365810917,195,1
Recurrence-Free Survival,Obs,577,0.6214255347318804,0.5653001606484629,0.6724759568489139,194,1
Recurrence-Free Survival,Obs,581,0.6182057133083991,0.5620220539703804,0.6693762782648365,193,1
Recurrence-Free Survival,Obs,593,0.6149858918849179,0.5587465029465883,0.6662741133890145,192,1
Recurrence-Free Survival,Obs,608,0.6117491240328919,0.555454163863188,0.6631548888068655,190,1
Recurrence-Free Survival,Obs,625,0.6085123561808661,0.552164417193603,0.66003315612061,189,1
Recurrence-Free Survival,Obs,632,0.6052755883288401,0.5488772505911165,0.6569089270607295,188,1
Recurrence-Free Survival,Obs,659,0.6020388204768142,0.5455926521600667,0.6537822129435212,187,1
Recurrence-Free Survival,Obs,663,0.5988020526247884,0.5423106104464573,0.6506530246792847,186,1
Recurrence-Free Survival,Obs,686,0.5955476936431319,0.5390111254213378,0.6475061816645803,184,1
Recurrence-Free Survival,Obs,700,0.5922933346614755,0.5357142383809052,0.6443568378764133,183,1
Recurrence-Free Survival,Obs,702,0.5857846166981625,0.5291282149716029,0.6380506881365008,182,2
Recurrence-Free Survival,Obs,712,0.5825302577165061,0.5258390580398817,0.634893901291059,180,1
Recurrence-Free Survival,Obs,726,0.5792758987348496,0.5225524579511368,0.6317346518981213,179,1
Recurrence-Free Survival,Obs,730,0.5760215397531931,0.5192684054670058,0.6285729485682368,178,1
Recurrence-Free Survival,Obs,731,0.5727671807715367,0.5159868917532854,0.6254087995458335,177,1
Recurrence-Free Survival,Obs,735,0.5695128217898802,0.5127079083732364,0.6222422127148197,176,1
Recurrence-Free Survival,Obs,739,0.5662584628082238,0.5094314472812324,0.6190731956038985,175,1
Recurrence-Free Survival,Obs,748,0.5630041038265673,0.5061575008167395,0.6159017553916049,174,1
Recurrence-Free Survival,Obs,752,0.5597497448449107,0.5028860616986214,0.6127278989110756,173,1
Recurrence-Free Survival,Obs,772,0.5564953858632543,0.49961712301975353,0.6095516326545565,172,1
Recurrence-Free Survival,Obs,774,0.5532410268815978,0.4963506782419392,0.606372962777654,171,1
Recurrence-Free Survival,Obs,803,0.5499866678999414,0.4930867211911215,0.6031918951033423,170,1
Recurrence-Free Survival,Obs,835,0.546732308918285,0.4898252460528785,0.6000084351257267,169,1
Recurrence-Free Survival,Obs,855,0.5434584627570976,0.48654440784683095,0.5968055533629036,167,1
Recurrence-Free Survival,Obs,871,0.5401846165959102,0.483266107615992,0.5936002380694175,166,1
Recurrence-Free Survival,Obs,912,0.5368908079581304,0.4799679796680883,0.5903750412630246,164,1
Recurrence-Free Survival,Obs,930,0.5335969993203504,0.4766724484953356,0.5871473669893322,163,1
Recurrence-Free Survival,Obs,975,0.5303031906825705,0.47337950885694413,0.5839172197307201,162,1
Recurrence-Free Survival,Obs,1020,0.5270093820447905,0.4700891558953592,0.5806846036312671,161,1
Recurrence-Free Survival,Obs,1042,0.5237155734070106,0.4668013851325293,0.5774495224994103,160,1
Recurrence-Free Survival,Obs,1057,0.5171279561314507,0.46023357416808,0.5709719787083645,159,2
Recurrence-Free Survival,Obs,1081,0.5138341474936707,0.456953526878318,0.567729522008547,157,1
Recurrence-Free Survival,Obs,1089,0.5105403388558908,0.4536760476055441,0.5644846121987916,156,1
Recurrence-Free Survival,Obs,1106,0.5072465302181108,0.45040113372321233,0.5612372514412047,155,1
Recurrence-Free Survival,Obs,1130,0.5039527215803309,0.4471287829677967,0.5579874415734404,154,1
Recurrence-Free Survival,Obs,1139,0.5006589129425509,0.44385899343698315,0.5547351841097963,153,1
Recurrence-Free Survival,Obs,1236,0.49734329100253405,0.4405675541031426,0.5514612633200144,151,1
Recurrence-Free Survival,Obs,1274,0.4940276690625171,0.4372787486210521,0.5481848380854608,150,1
Recurrence-Free Survival,Obs,1323,0.49068964427155415,0.43396772005865436,0.544886175612431,148,1
Recurrence-Free Survival,Obs,1353,0.4873516194805912,0.43065940186390567,0.5415849482179527,147,1
Recurrence-Free Survival,Obs,1432,0.48399057382900085,0.4273282598640893,0.5382608817420671,145,1
Recurrence-Free Survival,Obs,1436,0.4806295281774106,0.42399990895644263,0.5349341859771182,144,1
Recurrence-Free Survival,Obs,1446,0.4772684825258203,0.4206743482787805,0.5316048608206856,143,1
Recurrence-Free Survival,Obs,1455,0.47390743687423004,0.4173515773964452,0.5282729058010749,142,1
Recurrence-Free Survival,Obs,1466,0.47054639122263975,0.41403159630170727,0.5249383200768496,141,1
Recurrence-Free Survival,Obs,1475,0.4671853455710495,0.4107144054134924,0.5216011024361021,140,1
Recurrence-Free Survival,Obs,1535,0.4638242999194592,0.40740000557743483,0.5182612512954613,139,1
Recurrence-Free Survival,Obs,1539,0.460463254267869,0.40408839806625635,0.5149187646988364,138,1
Recurrence-Free Survival,Obs,1606,0.45710220861627865,0.40077958458047214,0.5115736403158931,137,1
Recurrence-Free Survival,Obs,1749,0.4537411629646884,0.3974735672494245,0.5082258754402632,136,1
Recurrence-Free Survival,Obs,1759,0.4503801173130981,0.3941703486326453,0.5048754669874782,135,1
Recurrence-Free Survival,Obs,1981,0.44656333665790243,0.3903617732472488,0.5011249408393438,118,1
Recurrence-Free Survival,Obs,2035,0.44254024353485827,0.3863236105034526,0.4971944579646573,111,1
Recurrence-Free Survival,Obs,2036,0.4385171504118141,0.3822914498367625,0.49325880397071953,110,1
Recurrence-Free Survival,Obs,2148,0.43394926342835777,0.3776343873870305,0.48886588238713885,96,1
Recurrence-Free Survival,Obs,2288,0.42683534107707316,0.36978615796095937,0.48259614290806013,61,1
Recurrence-Free Survival,Obs,2695,0.40743373466447896,0.3415983109862338,0.47210573554194585,22,1
Recurrence-Free Survival,Lev,0,1.0,1.0,1.0,310,0
Recurrence-Free Survival,Lev,19,0.9967741935483871,0.9773229865806872,0.999544987480556,310,1
Recurrence-Free Survival,Lev,28,0.9935379136992041,0.9744101523509611,0.9983799706634024,308,1
Recurrence-Free Survival,Lev,35,0.990301633850021,0.9702338576400149,0.9968618329019437,307,1
Recurrence-Free Survival,Lev,38,0.987065354000838,0.9659057325697564,0.9951257897587967,306,1
Recurrence-Free Survival,Lev,62,0.9805715029876745,0.9572671243616347,0.9912247066702704,304,2
Recurrence-Free Survival,Lev,72,0.9773245774810928,0.9530254356865948,0.9891254288828141,302,1
Recurrence-Free Survival,Lev,77,0.9740776519745111,0.9488347565616562,0.9869517767288275,301,1
Recurrence-Free Survival,Lev,78,0.9708307264679295,0.944690936708795,0.9847157936507044,300,1
Recurrence-Free Survival,Lev,80,0.9675838009613477,0.9405896372353341,0.9824265192583301,299,1
Recurrence-Free Survival,Lev,85,0.964336875454766,0.9365268375934899,0.9800909481062203,298,1
Recurrence-Free Survival,Lev,91,0.9610899499481843,0.9324989646137165,0.9777146267975615,297,1
Recurrence-Free Survival,Lev,98,0.9545960989350208,0.9245358919947455,0.9728568924126938,296,2
Recurrence-Free Survival,Lev,100,0.951349173428439,0.9205955917284302,0.9703822577327452,294,1
Recurrence-Free Survival,Lev,105,0.9481022479218574,0.9166799128662858,0.9678807472459325,293,1
Recurrence-Free Survival,Lev,111,0.9448553224152756,0.9127870314939265,0.9653545896033339,292,1
Recurrence-Free Survival,Lev,113,0.9383614714021122,0.9050634099369959,0.9602357746314932,291,2
Recurrence-Free Survival,Lev,116,0.9318676203889489,0.897413901382512,0.9550384497661266,289,2
Recurrence-Free Survival,Lev,119,0.9286206948823672,0.8936141687375584,0.9524135019646647,287,1
Recurrence-Free Survival,Lev,121,0.9253737693757854,0.8898298592705545,0.9497724400814935,286,1
Recurrence-Free Survival,Lev,136,0.9221268438692037,0.88606014190536,0.94711618511299,285,1
Recurrence-Free Survival,Lev,141,0.9188799183626221,0.8823042618595306,0.9444455673305444,284,1
Recurrence-Free Survival,Lev,145,0.9156329928560403,0.8785615313328955,0.941761338379575,283,1
Recurrence-Free Survival,Lev,146,0.9123860673494586,0.8748313215795506,0.9390641813730702,282,1
Recurrence-Free Survival,Lev,147,0.9091391418428769,0.8711130561268238,0.9363547193722377,281,1
Recurrence-Free Survival,Lev,157,0.9058922163362952,0.8674062049493473,0.9336335225590339,280,1
Recurrence-Free Survival,Lev,169,0.9026452908297135,0.8637102794420244,0.9309011143394624,279,1
Recurrence-Free Survival,Lev,174,0.8961514398165501,0.8563494325505112,0.925404554033781,278,2
Recurrence-Free Survival,Lev,175,0.8929045143099684,0.8526837046013735,0.9226412583596686,276,1
Recurrence-Free Survival,Lev,176,0.886410663296805,0.8453798309751663,0.9170865480016944,275,2
Recurrence-Free Survival,Lev,179,0.8831637377902233,0.8417410341214293,0.9142958189599261,273,1
Recurrence-Free Survival,Lev,181,0.8799168122836416,0.8381105982340065,0.9114965929061059,272,1
Recurrence-Free Survival,Lev,183,0.8766698867770599,0.8344882476243329,0.9086891584978484,271,1
Recurrence-Free Survival,Lev,185,0.8701760357638965,0.8272667826871158,0.9030507296209369,270,2
Recurrence-Free Survival,Lev,189,0.8669291102573149,0.8236671961077497,0.9002202273897363,268,1
Recurrence-Free Survival,Lev,191,0.8604352592441514,0.8164892343125124,0.8945377708437886,267,2
Recurrence-Free Survival,Lev,196,0.8571883337375698,0.8129104627223255,0.8916862278268058,265,1
Recurrence-Free Survival,Lev,204,0.8539414082309881,0.8093382508922504,0.8888280636242153,264,1
Recurrence-Free Survival,Lev,216,0.8506944827244063,0.8057724261730929,0.8859634568283349,263,1
Recurrence-Free Survival,Lev,218,0.8474475572178246,0.8022128248284364,0.8830925766263642,262,1
Recurrence-Free Survival,Lev,219,0.8442006317112429,0.798659291412226,0.8802155834743833,261,1
Recurrence-Free Survival,Lev,224,0.8409411698127439,0.7950955964671282,0.8773229961356849,259,1
Recurrence-Free Survival,Lev,229,0.8376817079142449,0.791537799166396,0.8744245222777136,258,1
Recurrence-Free Survival,Lev,230,0.8311627841172469,0.7844393482859261,0.8686104687357691,257,2
Recurrence-Free Survival,Lev,235,0.8279033222187479,0.7808984363085613,0.8656951495355301,255,1
Recurrence-Free Survival,Lev,246,0.8246438603202488,0.7773629043550973,0.8627744656216109,254,1
Recurrence-Free Survival,Lev,250,0.8213843984217499,0.7738326376370253,0.8598485326796819,253,1
Recurrence-Free Survival,Lev,253,0.8181249365232509,0.7703075264992537,0.8569174612129975,252,1
Recurrence-Free Survival,Lev,258,0.8148654746247519,0.7667874661122097,0.8539813568546739,251,1
Recurrence-Free Survival,Lev,260,0.8116060127262529,0.7632723561875935,0.8510403206558703,250,1
Recurrence-Free Survival,Lev,262,0.8083465508277539,0.7597621007156025,0.8480944493521132,249,1
Recurrence-Free Survival,Lev,263,0.8050870889292548,0.7562566077216768,0.8451438356097555,248,1
Recurrence-Free Survival,Lev,271,0.8018276270307558,0.7527557890410185,0.8421885682543544,247,1
Recurrence-Free Survival,Lev,274,0.7985681651322568,0.749259560109327,0.8392287324825636,246,1
Recurrence-Free Survival,Lev,276,0.7953087032337578,0.7457678397683448,0.8362644100589708,245,1
Recurrence-Free Survival,Lev,279,0.7887897794367598,0.7387976161826892,0.8303226162402225,244,2
Recurrence-Free Survival,Lev,286,0.7822708556397617,0.731844530566818,0.82436377892325,242,2
Recurrence-Free Survival,Lev,290,0.7757519318427638,0.7249080393273528,0.8183884458133173,240,2
Recurrence-Free Survival,Lev,294,0.7724924699442648,0.7214458577329419,0.8153947534174222,238,1
Recurrence-Free Survival,Lev,300,0.7692330080457658,0.7179876387408529,0.8123971244961502,237,1
Recurrence-Free Survival,Lev,313,0.7659735461472668,0.7145333250039946,0.8093956168467917,236,1
Recurrence-Free Survival,Lev,325,0.7627140842487679,0.7110828612262815,0.8063902862045864,235,1
Recurrence-Free Survival,Lev,330,0.7561951604517698,0.7041932720666116,0.800368369130121,234,2
Recurrence-Free Survival,Lev,333,0.7529356985532708,0.7007540455379957,0.7973518846754944,232,1
Recurrence-Free Survival,Lev,335,0.7496762366547719,0.697318466515433,0.7943317813445713,231,1
Recurrence-Free Survival,Lev,336,0.7464167747562729,0.6938864886683338,0.7913081058643022,230,1
Recurrence-Free Survival,Lev,337,0.7398978509592748,0.6870331589576035,0.7852502175523175,229,2
Recurrence-Free Survival,Lev,341,0.7366383890607758,0.6836117220207877,0.7822160905564488,227,1
Recurrence-Free Survival,Lev,348,0.7301194652637778,0.6767791017747068,0.7761376749641312,226,2
Recurrence-Free Survival,Lev,352,0.7268600033652788,0.6733678415402545,0.773093464027914,224,1
Recurrence-Free Survival,Lev,356,0.7203410795682809,0.666555237825034,0.7669952207096604,223,2
Recurrence-Free Survival,Lev,366,0.7170816176697818,0.6631538246547899,0.7639412587323594,221,1
Recurrence-Free Survival,Lev,369,0.7138221557712828,0.6597556260039847,0.7608841149544039,220,1
Recurrence-Free Survival,Lev,370,0.7105626938727838,0.6563606097484402,0.7578238218518328,219,1
Recurrence-Free Survival,Lev,372,0.7073032319742848,0.6529687447822158,0.7547604108807219,218,1
Recurrence-Free Survival,Lev,380,0.7040437700757859,0.6495800009817476,0.7516939125133403,217,1
Recurrence-Free Survival,Lev,386,0.7007843081772869,0.6461943491717684,0.7486243562725139,216,1
Recurrence-Free Survival,Lev,389,0.6975248462787879,0.6428117610929017,0.7455517707642975,215,1
Recurrence-Free Survival,Lev,413,0.6942653843802888,0.6394322093708386,0.7424761837090547,214,1
Recurrence-Free Survival,Lev,415,0.6910059224817899,0.6360556674870039,0.7393976219710333,213,1
Recurrence-Free Survival,Lev,429,0.6877464605832908,0.6326821097506319,0.7363161115865233,212,1
Recurrence-Free Survival,Lev,439,0.6844869986847918,0.6293115112721714,0.7332316777906751,211,1
Recurrence-Free Survival,Lev,440,0.6812275367862928,0.6259438479379485,0.7301443450430486,210,1
Recurrence-Free Survival,Lev,454,0.6779680748877938,0.6225790963860197,0.727054137051967,209,1
Recurrence-Free Survival,Lev,458,0.6747086129892949,0.6192172339831513,0.7239610767977351,208,1
Recurrence-Free Survival,Lev,465,0.6714491510907958,0.6158582388028652,0.7208651865547826,207,1
Recurrence-Free Survival,Lev,474,0.6681896891922968,0.6125020896044981,0.7177664879127911,206,1
Recurrence-Free Survival,Lev,476,0.6649302272937978,0.6091487658132195,0.7146650017968538,205,1
Recurrence-Free Survival,Lev,482,0.6616707653952988,0.60579824750096,0.71156074848672,204,1
Recurrence-Free Survival,Lev,490,0.6583951675468072,0.6024318358192242,0.7084400501240403,202,1
Recurrence-Free Survival,Lev,491,0.6551195696983156,0.5990682559644543,0.7053165765625641,201,1
Recurrence-Free Survival,Lev,498,0.6518439718498241,0.5957074888158688,0.7021903468042777,200,1
Recurrence-Free Survival,Lev,504,0.6485683740013325,0.5923495158690434,0.6990613792550447,199,1
Recurrence-Free Survival,Lev,505,0.6452927761528409,0.588994319219269,0.695929691740565,198,1
Recurrence-Free Survival,Lev,511,0.6420171783043493,0.5856418815456629,0.6927953015216225,197,1
Recurrence-Free Survival,Lev,513,0.6387415804558577,0.5822921860959994,0.6896582253086548,196,1
Recurrence-Free Survival,Lev,525,0.6354659826073662,0.5789452166722269,0.6865184792756776,195,1
Recurrence-Free Survival,Lev,527,0.6321903847588746,0.5756009576166358,0.683376079073589,194,1
Recurrence-Free Survival,Lev,532,0.628914786910383,0.572259393798652,0.6802310398428881,193,1
Recurrence-Free Survival,Lev,548,0.6256391890618914,0.5689205106022243,0.6770833762258277,192,1
Recurrence-Free Survival,Lev,560,0.6223635912133999,0.5655842939137808,0.6739331023780305,191,1
Recurrence-Free Survival,Lev,565,0.6190879933649083,0.5622507301107295,0.6707802319795881,190,1
Recurrence-Free Survival,Lev,573,0.6125367976679251,0.5555915090599554,0.6644667539366566,189,2
Recurrence-Free Survival,Lev,578,0.6092611998194335,0.5522658269256038,0.6613061713678199,187,1
Recurrence-Free Survival,Lev,583,0.605985601970942,0.5489427478838383,0.6581430424185717,186,1
Recurrence-Free Survival,Lev,593,0.6027100041224505,0.5456222606119382,0.6549773785412909,185,1
Recurrence-Free Survival,Lev,599,0.5994344062739588,0.5423043542193637,0.6518091907697513,184,1
Recurrence-Free Survival,Lev,613,0.5961588084254673,0.5389890182394795,0.6486384897271638,183,1
Recurrence-Free Survival,Lev,615,0.5928832105769757,0.5356762426216666,0.6454652856338453,182,1
Recurrence-Free Survival,Lev,638,0.5895894149626592,0.5323453938720786,0.6422738371683462,180,1
Recurrence-Free Survival,Lev,653,0.5862956193483426,0.5290171513269265,0.6390798561597513,179,1
Recurrence-Free Survival,Lev,654,0.5830018237340261,0.5256915054036179,0.6358833520479942,178,1
Recurrence-Free Survival,Lev,663,0.5797080281197096,0.5223684469338599,0.6326843338826951,177,1
Recurrence-Free Survival,Lev,668,0.576414232505393,0.5190479671567338,0.6294828103295114,176,1
Recurrence-Free Survival,Lev,672,0.5731204368910765,0.5157300577121235,0.6262787896761692,175,1
Recurrence-Free Survival,Lev,675,0.5698266412767599,0.5124147106344863,0.6230722798381881,174,1
Recurrence-Free Survival,Lev,680,0.5665328456624433,0.5091019183469535,0.6198632883643066,173,1
Recurrence-Free Survival,Lev,697,0.5632390500481268,0.505791673655753,0.6166518224416185,172,1
